VELO-X,VELO-Y,VELO-Z,DFT321
0.25,0.01,-0.85,40.83802272
0.25,0.01,-0.85,18.52119327
0.25,0.01,-0.85,41.59128875
0.25,0.01,-0.85,-44.00020568
0.25,0.01,-0.85,12.24200147
0.25,0.01,-0.85,20.69872943
0.25,0.01,-0.85,-41.83693703
0.25,0.01,-0.85,51.41226896
0.25,0.01,-0.85,-45.87861048
0.25,0.01,-0.85,36.57197014
0.26,0.01,-0.84,-18.92492801
0.26,0.01,-0.84,-17.30518419
0.26,0.01,-0.84,-17.69023459
0.26,0.01,-0.84,-13.91349704
0.26,0.01,-0.84,10.78323699
0.3,0.02,-0.83,10.90109628
0.3,0.02,-0.83,23.40829127
0.3,0.02,-0.83,52.06820431
0.3,0.02,-0.83,49.91915564
0.3,0.02,-0.83,21.19257889
0.3,0.02,-0.83,-24.61811122
0.3,0.02,-0.83,13.96782374
0.28,0.03,-0.82,-16.01176442
0.28,0.03,-0.82,22.60672687
0.42,-0.03,-0.79,48.34334287
0.42,-0.03,-0.79,14.21029556
0.42,-0.03,-0.79,-18.65521107
0.42,-0.03,-0.79,35.19733086
0.42,-0.03,-0.79,-13.02201981
0.42,-0.03,-0.79,-42.9222786
0.42,-0.03,-0.79,44.42095226
0.42,-0.03,-0.79,25.22801023
0.42,-0.03,-0.79,-22.30875165
0.42,-0.03,-0.79,-23.97443013
0.42,-0.03,-0.79,74.98653946
0.42,-0.02,-0.78,58.45593896
0.42,-0.02,-0.78,-11.44115816
0.42,-0.02,-0.78,18.65319276
0.42,-0.02,-0.78,-23.55108915
0.42,-0.02,-0.78,24.25644244
0.39,0,-0.77,-20.80085335
0.39,0,-0.77,-28.68462654
0.39,0,-0.77,65.11920531
0.39,0,-0.77,8.961707427
0.39,0,-0.77,-34.00624649
0.39,0,-0.77,28.56694243
0.39,0,-0.77,-10.30886027
0.39,0,-0.77,30.71436635
0.39,0,-0.77,21.07252477
0.39,0,-0.77,-43.24324687
0.43,0.01,-0.75,15.8411521
0.43,0.01,-0.75,-19.63159953
0.43,0.01,-0.75,24.28120672
0.48,-0.01,-0.73,13.13185821
0.48,-0.01,-0.73,-27.12024705
0.48,-0.01,-0.73,-15.65642999
0.48,-0.01,-0.73,-22.20339163
0.48,-0.01,-0.73,-15.92474804
0.48,-0.01,-0.73,-12.88289176
0.48,-0.01,-0.73,-19.72002789
0.48,-0.01,-0.73,67.2742774
0.48,0,-0.71,-29.92624434
0.48,0,-0.71,-19.36681182
0.48,0,-0.71,-41.41334809
0.48,0,-0.71,20.279285
0.47,0.02,-0.69,17.2982687
0.47,0.02,-0.69,47.26630618
0.51,-0.01,-0.68,-17.57120656
0.51,-0.01,-0.68,35.06774444
0.51,-0.01,-0.68,9.070887498
0.51,-0.01,-0.68,17.76721419
0.51,-0.01,-0.68,-20.58065597
0.51,-0.01,-0.68,-37.06254578
0.51,-0.01,-0.68,-31.21619772
0.51,-0.01,-0.68,-13.34680861
0.51,-0.01,-0.68,47.26292733
0.53,-0.01,-0.66,-43.30813665
0.53,-0.01,-0.66,-46.55212347
0.53,-0.01,-0.66,10.86944341
0.53,-0.01,-0.66,-12.11364933
0.52,0.02,-0.63,26.40064583
0.52,0.02,-0.63,12.79497167
0.52,0.02,-0.63,13.47356671
0.52,0.02,-0.63,22.70359883
0.52,0.02,-0.63,-19.88666136
0.52,0.02,-0.63,8.595493005
0.52,0.02,-0.63,8.348622641
0.52,0.02,-0.63,40.41166292
0.52,0.02,-0.63,45.21155162
0.52,0.02,-0.62,-26.84098545
0.52,0.02,-0.62,6.886145511
0.52,0.02,-0.62,22.85021225
0.52,0.02,-0.62,29.70023232
0.52,0.02,-0.62,-13.0644135
0.52,0.02,-0.62,19.29694535
0.52,0.02,-0.62,15.54450707
0.52,0.02,-0.62,-36.23241367
0.54,0.01,-0.59,47.25988362
0.54,0.01,-0.59,137.2649008
0.54,0.01,-0.59,-49.13244753
0.54,0.01,-0.57,-17.19210575
0.54,0.01,-0.57,-29.82167333
0.54,0.01,-0.57,-24.81039701
0,0,0,-16.65402654
0,0,0,-21.3449713
0,0,0,-14.7161408
